fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_easyocr
174;bus;0.7213014960289001;1259;257;1362;357;NO;1259;257;1361;354;;0.000166;0.008401
175;bus;0.722175657749176;1258;257;1361;357;NO;1258;257;1360;355;;0.000200;0.008843
176;bus;0.7292104363441467;1257;257;1360;358;NO;1257;257;1359;358;;0.000160;0.009020
177;bus;0.7067882418632507;1256;257;1359;358;NO;1256;257;1358;358;;0.000252;0.009426
255;car;0.7050362825393677;1432;322;1509;380;NO;1434;322;1509;378;;0.000142;0.012724
256;car;0.7196438312530518;1431;322;1510;380;NO;1432;322;1509;380;;0.000158;0.012285
257;car;0.7306371927261353;1431;322;1510;380;NO;1432;322;1509;380;;0.000159;0.012604
258;car;0.7354579567909241;1431;322;1509;380;NO;1433;322;1508;380;;0.000188;0.012109
259;car;0.7269264459609985;1431;323;1510;380;NO;1432;323;1509;379;;0.000197;0.011825
260;car;0.7189834117889404;1431;323;1511;380;NO;1432;323;1510;378;;0.000161;0.012272
261;car;0.724377453327179;1431;323;1511;379;NO;1431;323;1510;379;;0.000147;0.011689
262;car;0.7211053967475891;1431;323;1510;379;NO;1433;323;1509;377;;0.000155;0.011933
263;car;0.7311452031135559;1431;323;1510;379;NO;1432;323;1509;379;;0.000194;0.012383
264;car;0.7060220241546631;1431;323;1509;379;NO;1432;323;1508;379;;0.000198;0.007555
392;car;0.7740961313247681;1804;411;1919;547;NO;1804;411;1918;545;;0.000154;0.021043
393;car;0.7860152125358582;1779;402;1918;538;NO;1779;402;1917;533;;0.000254;0.023223
394;car;0.7949013113975525;1755;378;1919;538;NO;1755;378;1918;530;;0.000195;0.083539
395;car;0.8375707864761353;1730;355;1919;536;NO;1730;355;1919;527;;0.000165;0.030365
396;car;0.8694214820861816;1711;348;1919;534;NO;1711;348;1919;526;;0.000155;0.032775
397;car;0.90630042552948;1690;347;1919;548;NO;1690;347;1918;527;;0.000142;0.083384
398;car;0.915857195854187;1674;342;1919;553;NO;1674;345;1918;534;;0.000180;0.035871
399;car;0.9201148748397827;1653;342;1918;547;NO;1653;343;1917;540;;0.000207;0.043900
400;car;0.901195228099823;1635;338;1919;538;NO;1635;338;1918;532;;0.000158;0.034864
401;car;0.8883323669433594;1615;336;1919;531;NO;1615;336;1919;531;;0.000196;0.078052
402;car;0.9007583856582642;1607;336;1919;526;NO;1607;337;1919;521;;0.000202;0.082926
403;car;0.8917770385742188;1591;334;1919;521;NO;1725;334;1918;520;;0.000204;0.008722
404;car;0.8958442807197571;1576;333;1919;524;NO;1703;333;1918;524;;0.000353;0.008688
405;car;0.904046893119812;1566;333;1919;516;NO;1685;333;1918;514;;0.000221;0.009502
406;car;0.9140859842300415;1554;333;1920;511;NO;1554;333;1919;511;;0.000148;0.076921
407;car;0.9075257182121277;1545;334;1903;506;NO;1545;334;1902;502;;0.000156;0.014537
408;car;0.9125258326530457;1536;333;1882;500;NO;1536;333;1881;499;;0.000193;0.013670
409;car;0.9240209460258484;1520;332;1857;495;NO;1520;332;1856;494;;0.000161;0.013374
410;car;0.9282141327857971;1514;333;1834;490;NO;1514;333;1833;490;;0.000256;0.078051
411;car;0.9106278419494629;1505;331;1812;486;NO;1506;331;1811;483;;0.000188;0.010433
412;car;0.8773982524871826;1495;328;1794;484;NO;1562;328;1793;481;;0.000154;0.080734
413;car;0.8635432720184326;1485;329;1774;478;NO;1551;329;1773;476;;0.000104;0.076420
414;car;0.8776693940162659;1479;330;1755;476;NO;1479;330;1753;475;;0.000204;0.079741
415;car;0.8726915717124939;1472;331;1739;471;NO;1530;331;1738;469;;0.000309;0.012754
416;car;0.8546267747879028;1467;326;1723;468;NO;1467;326;1722;467;;0.000167;0.012815
417;car;0.8729439377784729;1462;327;1706;465;NO;1462;327;1705;465;;0.000212;0.013280
418;car;0.8735764026641846;1451;327;1696;460;NO;1451;327;1694;460;;0.000161;0.013233
419;car;0.873957633972168;1445;327;1683;459;NO;1445;327;1682;458;;0.000158;0.013604
420;car;0.8844630718231201;1442;327;1666;456;NO;1442;327;1665;456;;0.000221;0.012875
421;car;0.8743394017219543;1432;328;1656;453;NO;1432;328;1656;453;;0.000162;0.074887
421;motorcycle;0.7068783640861511;1677;388;1829;510;NO;1677;388;1829;505;;0.000162;0.067869
422;car;0.8755471110343933;1429;326;1643;449;NO;1429;326;1643;448;;0.000239;0.011099
423;car;0.8758338689804077;1425;325;1631;447;NO;1425;325;1630;447;;0.000370;0.010824
424;car;0.8723817467689514;1418;325;1621;443;NO;1418;325;1621;443;;0.000231;0.011335
425;car;0.8761416077613831;1415;326;1612;441;NO;1415;326;1611;441;;0.000194;0.011036
426;car;0.8581148386001587;1409;328;1601;437;NO;1409;328;1601;437;;0.000174;0.077005
427;car;0.8346344828605652;1403;328;1593;436;NO;1403;328;1593;436;;0.000158;0.010744
428;car;0.8226407766342163;1401;331;1585;433;NO;1401;331;1585;433;;0.000161;0.011422
429;car;0.821029543876648;1394;333;1578;429;NO;1394;333;1578;429;;0.000170;0.073224
430;car;0.7224541306495667;1393;326;1573;427;NO;1393;326;1572;427;;0.000154;0.011539
431;car;0.7942754030227661;1390;324;1556;423;NO;1390;324;1555;423;;0.000157;0.011580
432;car;0.7867743968963623;1384;323;1544;422;NO;1384;323;1543;422;;0.000337;0.010721
433;car;0.7563633322715759;1380;324;1537;421;NO;1380;324;1536;421;;0.000190;0.010526
434;car;0.7877735495567322;1376;321;1523;416;NO;1376;321;1523;415;;0.000159;0.061219
435;car;0.7752103805541992;1374;321;1514;414;NO;1374;321;1514;412;;0.000242;0.008972
436;car;0.8278396725654602;1372;320;1509;414;NO;1372;320;1509;414;;0.000170;0.008919
437;car;0.833537757396698;1369;320;1500;413;NO;1369;320;1500;412;;0.000149;0.009049
438;car;0.8040892481803894;1368;321;1499;413;NO;1368;321;1498;411;;0.000197;0.009048
439;car;0.77384352684021;1364;322;1489;411;NO;1364;322;1488;410;;0.000158;0.082590
440;car;0.7931137681007385;1361;323;1477;411;NO;1361;323;1476;409;;0.000202;0.008646
441;car;0.7373561859130859;1359;324;1474;408;NO;1359;324;1473;406;;0.000313;0.008458
466;car;0.7033560872077942;1319;319;1408;384;NO;1319;319;1407;382;;0.000145;0.008268
467;car;0.71471107006073;1320;320;1406;384;NO;1320;320;1405;382;;0.000155;0.007459
471;car;0.7154228091239929;1314;320;1398;383;NO;1314;320;1397;382;;0.000174;0.008868
569;car;0.7103301286697388;1144;313;1191;346;NO;1144;313;1190;346;;0.000231;0.012069
570;car;0.7076770067214966;1144;313;1191;346;NO;1144;313;1190;346;;0.000253;0.011649
571;car;0.7074223160743713;1145;313;1191;346;NO;1145;313;1190;346;;0.000227;0.011989
572;car;0.7023298740386963;1145;313;1191;346;NO;1145;313;1190;346;;0.000304;0.011696
573;car;0.7174151539802551;1145;313;1191;346;NO;1145;313;1190;346;;0.000326;0.012149
574;car;0.7134228348731995;1145;313;1191;346;NO;1145;313;1190;346;;0.000194;0.012005
575;car;0.7160699367523193;1145;313;1191;346;NO;1145;313;1190;346;;0.000139;0.011809
576;car;0.718124508857727;1145;313;1191;346;NO;1145;313;1190;346;;0.000149;0.011539
578;car;0.7064844369888306;1146;313;1192;347;NO;1146;313;1191;347;;0.000126;0.011801
579;car;0.7144994735717773;1145;313;1192;347;NO;1145;313;1191;347;;0.000161;0.011523
580;car;0.7084405422210693;1146;313;1192;347;NO;1146;313;1191;347;;0.000157;0.011512
625;car;0.7012174129486084;1142;314;1193;352;NO;1142;314;1192;351;;0.000127;0.011552
626;car;0.7467003464698792;1815;411;1919;551;NO;1815;411;1919;550;;0.000164;0.019082
626;car;0.704387903213501;1142;313;1193;353;NO;1142;313;1192;353;;0.000164;0.011919
627;car;0.8296045660972595;1791;394;1919;544;NO;1791;394;1919;541;;0.000214;0.018955
627;car;0.722005307674408;1142;313;1192;353;NO;1142;313;1191;352;;0.000214;0.012595
628;car;0.8785111904144287;1771;377;1919;542;NO;1771;377;1918;539;;0.000163;0.079647
628;car;0.7325391173362732;1142;313;1192;353;NO;1142;313;1191;352;;0.000163;0.011433
