fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_easyocr
144;car;0.9406682848930359;349;170;628;296;NO;350;170;627;296;;0.000124;0.014386
145;car;0.9368428587913513;346;171;631;298;NO;346;171;630;298;;0.000119;0.014114
146;car;0.9377827048301697;342;172;632;300;NO;342;172;631;300;;0.000108;0.085656
147;car;0.9326598048210144;340;174;635;302;NO;340;174;634;302;;0.000092;0.015519
148;car;0.9331769943237305;337;175;638;304;NO;337;175;637;304;;0.000102;0.087249
149;car;0.9376376271247864;334;177;639;308;NO;334;177;638;308;;0.000085;0.019091
150;car;0.9341932535171509;330;179;639;310;NO;330;179;638;310;;0.000110;0.019276
151;car;0.9308367967605591;325;182;639;313;NO;327;183;638;313;;0.000105;0.018670
152;car;0.9373301267623901;319;184;638;314;NO;320;185;636;314;;0.000088;0.018164
153;car;0.9247153401374817;312;185;634;315;NO;314;185;632;315;;0.000105;0.018134
154;car;0.8883479237556458;1;0;520;311;NO;99;192;374;310;;0.000111;0.014475
155;car;0.892208456993103;0;0;532;314;NO;0;0;532;314;;0.000088;0.049616
156;car;0.9122287034988403;0;0;547;318;NO;0;0;546;318;;0.000092;0.043435
157;car;0.850587785243988;0;0;560;321;NO;0;1;559;321;;0.000082;0.039834
158;car;0.8310207724571228;0;0;576;322;NO;0;0;575;322;;0.000111;0.043799
159;car;0.8322213292121887;0;0;590;324;NO;0;0;589;324;;0.000165;0.118714
160;car;0.897117555141449;0;0;593;328;NO;540;217;583;245;;0.000109;0.103062
161;car;0.9098051190376282;0;0;594;330;NO;0;0;593;330;;0.000130;0.041506
162;car;0.9095386862754822;0;0;591;331;NO;0;0;590;331;;0.000171;0.039534
163;car;0.9165354371070862;118;1;638;283;NO;118;1;638;283;;0.000089;0.109506
164;car;0.9181221127510071;124;1;638;283;NO;124;1;638;283;;0.000091;0.031017
165;car;0.9096921682357788;135;1;639;284;NO;135;1;638;284;;0.000132;0.127436
166;car;0.9100564122200012;155;1;638;284;NO;155;1;638;284;;0.000165;0.029112
